#>P	ENSDARG00000043130	ENSDART00000123104	ENSDARP00000112112	8	19517155	19585292	1	notch 2 [Source:ZFIN;Acc:ZDB-GENE-000329-4]
#>E	ENSDARE00001017178,ENSDARE00001082720,ENSDARE00001090632,ENSDARE00001094370,ENSDARE00001092632,ENSDARE00001102722,ENSDARE00001102527,ENSDARE00001081412,ENSDARE00001094696,ENSDARE00001096908,ENSDARE00001083073,ENSDARE00001101668,ENSDARE00001099550,ENSDARE00001084365,ENSDARE00001100753,ENSDARE00001090589,ENSDARE00001078099,ENSDARE00001096331,ENSDARE00001086209,ENSDARE00001090586,ENSDARE00001083679,ENSDARE00001092050,ENSDARE00001084437,ENSDARE00001092951,ENSDARE00001077054,ENSDARE00001077986,ENSDARE00001102052,ENSDARE00001087808,ENSDARE00001083675,ENSDARE00001093242,ENSDARE00001101125,ENSDARE00001086264,ENSDARE00001089283,ENSDARE00000937638	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0	19517155-19517227,19539401-19539479,19557635-19557900,19558234-19558572,19559237-19559359,19560222-19560455,19560670-19560825,19560938-19561123,19561242-19561355,19563158-19563271,19563377-19563610,19564405-19564515,19564888-19565080,19566793-19566938,19567026-19567139,19568741-19568860,19569109-19569261,19569641-19569869,19569956-19570157,19570724-19570877,19570962-19571146,19573841-19573973,19574053-19574295,19574398-19574510,19576032-19576543,19577019-19577369,19577462-19577604,19579512-19579713,19580211-19580301,19580393-19580543,19580655-19580977,19583425-19583572,19583695-19583792,19583901-19585295
8	19566800	19566835	1	EGF-like_CS	165.1	19566800-19566835	PF12661	http://pfam.xfam.org/family/PF12661
8	19576182	19576274	1	EGF-like_dom	714.7	19576182-19576274	PF00008	http://pfam.xfam.org/family/PF00008
8	19557810	19558241	1	EGF-like_dom	714.7	19557810-19557900,19558234-19558241	PF00008	http://pfam.xfam.org/family/PF00008
8	19564917	19565003	1	EGF-like_dom	714.7	19564917-19565003	PF00008	http://pfam.xfam.org/family/PF00008
8	19558494	19559250	1	EGF-like_dom	714.7	19558494-19558572,19559237-19559250	PF00008	http://pfam.xfam.org/family/PF00008
8	19576074	19576163	1	EGF-like_dom	714.7	19576074-19576163	PF00008	http://pfam.xfam.org/family/PF00008
8	19569859	19570034	1	EGF-like_dom	714.7	19569859-19569869,19569956-19570034	PF00008	http://pfam.xfam.org/family/PF00008
8	19571081	19573864	1	EGF-like_dom	714.7	19571081-19571146,19573841-19573864	PF00008	http://pfam.xfam.org/family/PF00008
8	19558260	19558355	1	EGF-like_dom	714.7	19558260-19558355	PF00008	http://pfam.xfam.org/family/PF00008
8	19567055	19568748	1	EGF-like_dom	714.7	19567055-19567139,19568741-19568748	PF00008	http://pfam.xfam.org/family/PF00008
8	19574427	19576043	1	EGF-like_dom	714.7	19574427-19574510,19576032-19576043	PF00008	http://pfam.xfam.org/family/PF00008
8	19561048	19561255	1	EGF-like_dom	714.7	19561048-19561123,19561242-19561255	PF00008	http://pfam.xfam.org/family/PF00008
8	19559275	19560226	1	EGF-like_dom	714.7	19559275-19559359,19560222-19560226	PF00008	http://pfam.xfam.org/family/PF00008
8	19570982	19571059	1	EGF-like_dom	714.7	19570982-19571059	PF00008	http://pfam.xfam.org/family/PF00008
8	19563196	19563390	1	EGF-like_dom	714.7	19563196-19563271,19563377-19563390	PF00008	http://pfam.xfam.org/family/PF00008
8	19574082	19574183	1	EGF-like_dom	714.7	19574082-19574183	PF00008	http://pfam.xfam.org/family/PF00008
8	19563415	19563498	1	EGF-like_dom	714.7	19563415-19563498	PF00008	http://pfam.xfam.org/family/PF00008
8	19573889	19574054	1	EGF-like_dom	714.7	19573889-19573973,19574053-19574054	PF00008	http://pfam.xfam.org/family/PF00008
8	19570739	19570828	1	EGF-like_dom	714.7	19570739-19570828	PF00008	http://pfam.xfam.org/family/PF00008
8	19569745	19569837	1	EGF-like_dom	714.7	19569745-19569837	PF00008	http://pfam.xfam.org/family/PF00008
8	19564434	19564895	1	EGF-like_dom	714.7	19564434-19564515,19564888-19564895	PF00008	http://pfam.xfam.org/family/PF00008
8	19570059	19570148	1	EGF-like_dom	714.7	19570059-19570148	PF00008	http://pfam.xfam.org/family/PF00008
8	19569252	19569723	1	EGF-like_dom	714.7	19569252-19569261,19569641-19569723	PF00008	http://pfam.xfam.org/family/PF00008
8	19569138	19569230	1	EGF-like_dom	714.7	19569138-19569230	PF00008	http://pfam.xfam.org/family/PF00008
8	19561280	19563174	1	EGF-like_dom	714.7	19561280-19561355,19563158-19563174	PF00008	http://pfam.xfam.org/family/PF00008
8	19566854	19567027	1	EGF-like_dom	714.7	19566854-19566938,19567026-19567027	PF00008	http://pfam.xfam.org/family/PF00008
